Kreis;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§24 Abs.2 EuWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;AfD;FDP;DIE LINKE;FREIE WÄHLER;PIRATEN;Tierschutzpartei;ÖDP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt
08111 Stadtkreis Stuttgart;380985;283060;97904;21;255470;88849;2172;253298;60371;34244;71920;18876;20739;12906;5623;2799;2561;2749;188;8190;588;223;191;286;122;44;417;271;527;1050;300;122;1795;29;195;79;104;104;351;231;316;180;140;326;534;518;174;2915
08115 Landkreis Böblingen;262708;209985;52723;0;173851;47805;2542;171309;53646;22184;37295;17562;13519;4509;7806;1243;1666;1774;251;3082;718;193;227;123;30;25;304;195;793;363;137;73;526;27;199;82;85;53;227;205;250;136;73;67;280;315;185;881
08116 Landkreis Esslingen;365828;289930;75894;4;242055;69212;3565;238490;71185;32659;55218;22958;17211;7093;11074;1692;2693;2422;281;4514;975;242;315;160;42;18;560;311;839;450;206;121;839;37;255;144;117;97;329;317;343;154;87;116;348;511;269;1288
08117 Landkreis Göppingen;178436;145843;32593;0;111874;29829;2128;109746;33437;15274;22399;13732;7617;2678;5092;823;1428;935;187;1842;510;161;189;49;23;7;315;160;275;322;110;57;227;30;132;80;66;53;153;152;151;74;32;51;105;292;134;392
08118 Landkreis Ludwigsburg;365970;287382;78584;4;244616;71304;3596;241020;71214;33204;54317;23909;17510;7379;11186;1623;2742;3046;314;4676;1053;267;290;133;42;28;521;321;887;1020;182;119;656;45;288;141;112;112;321;356;331;157;97;168;303;475;260;1215
08119 Landkreis Rems-Murr-Kreis;297477;242079;55397;1;193131;50008;2913;190218;57809;25739;37425;21895;15925;5405;7258;1519;2445;2654;322;3516;952;262;301;93;40;15;491;326;911;451;146;89;584;29;251;134;127;95;281;235;278;145;55;151;218;483;260;903
08121 Stadtkreis Heilbronn;77185;66174;11000;11;42835;9977;636;42199;11262;6926;8676;5495;3320;1643;1024;256;378;415;82;911;136;53;54;56;14;5;70;60;85;318;30;25;111;5;59;27;25;17;58;53;53;29;13;22;45;84;52;252
08125 Landkreis Heilbronn;242435;198628;43805;2;155172;40011;3401;151771;46334;21795;28157;19561;11632;3863;5561;885;1863;2321;487;2558;887;248;222;60;32;11;462;252;655;462;119;81;237;46;207;151;103;76;227;215;205;117;50;61;213;420;232;703
08126 Landkreis Hohenlohekreis;82480;70537;11943;0;51822;10823;857;50965;17051;6562;9913;6074;4274;1261;1405;296;576;457;180;741;362;62;84;16;11;4;132;74;266;25;39;20;93;6;65;46;37;37;76;100;53;43;19;31;79;144;78;173
08127 Landkreis Schwäbisch Hall;143275;123449;19826;0;86854;17948;1594;85260;26184;11966;18248;9753;6406;2472;1863;492;931;1723;190;1448;525;108;119;48;17;9;176;156;412;79;74;44;145;25;108;72;81;63;151;115;102;78;17;46;98;217;133;366
08128 Landkreis Main-Tauber-Kreis;101414;83234;18178;2;67155;16680;1544;65611;26034;8635;11369;7056;3486;1554;1840;358;680;1035;139;970;454;99;110;8;7;7;173;112;131;37;40;27;98;13;97;51;42;40;109;82;76;47;14;21;63;157;98;242
08135 Landkreis Heidenheim;93726;78255;15471;0;54670;14040;1144;53526;18605;8335;10740;5471;2477;1570;1676;321;572;740;101;865;300;78;82;27;61;5;123;90;160;39;44;21;95;19;69;43;33;28;72;73;56;34;13;28;57;141;58;204
